Time	"Time Code"	"Country Name"	"Country Code"	"Alternative and nuclear energy (% of total energy use) [EG.USE.COMM.CL.ZS]"	"Armed forces personnel (% of total labor force) [MS.MIL.TOTL.TF.ZS]"	"Arms exports (SIPRI trend indicator values) [MS.MIL.XPRT.KD]"	"Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]"	"Children out of school (% of primary school age) [SE.PRM.UNER.ZS]"	"CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]"	"GDP per capita (current US$) [NY.GDP.PCAP.CD]"	"GINI index (World Bank estimate) [SI.POV.GINI]"	"Income share held by highest 10% [SI.DST.10TH.10]"	"International migrant stock (% of population) [SM.POP.TOTL.ZS]"	"International tourism, number of arrivals [ST.INT.ARVL]"	"Land area (sq. km) [AG.LND.TOTL.K2]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"	"Net migration [SM.POP.NETM]"	"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]"	"Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS]"	"Population in the largest city (% of urban population) [EN.URB.LCTY.UR.ZS]"	"Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS]"	"Proportion of seats held by women in national parliaments (%) [SG.GEN.PARL.ZS]"	"Rural population (% of total population) [SP.RUR.TOTL.ZS]"	"Smoking prevalence, total (ages 15+) [SH.PRV.SMOK]"	"Suicide mortality rate (per 100,000 population) [SH.STA.SUIC.P5]"	"Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant) [SP.MTR.1519.ZS]"	"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]"
2013	"YR2013"	"Afghanistan"	"AFG"	""	"2.97122837311475"	""	""	""	"0.310341014879365"	"637.16504385598"	""	""	""	""	"652860"	"62.525"	""	"0.2894"	"46.3866707443965"	"45.0502455986707"	"25"	"27.7"	"75.627"	""	""	""	"1.72500002384186"
2013	"YR2013"	"Albania"	"ALB"	"26.0687850119228"	"0.68281209332515"	""	"70.5807697920008"	"4.58103"	"1.74921107861166"	"4413.08288688408"	""	""	""	"2857000"	"27400"	"77.554"	""	"1.2706"	"19.8562568229796"	"26.9777768076807"	"5.8"	"17.9"	"44.613"	"29.8"	""	""	"15.8660001754761"
2013	"YR2013"	"Algeria"	"DZA"	"0.0429831625830771"	"2.64116097842858"	""	""	""	"3.52555735779834"	"5499.58776363606"	""	""	""	"2733000"	"2381740"	"75.661"	""	""	"27.9168533575905"	"9.52268994660839"	"4.5"	"31.6"	"30.424"	"15.3"	""	""	"9.81999969482422"
2013	"YR2013"	"American Samoa"	"ASM"	""	""	""	""	""	""	"11505.3937142139"	""	""	""	"20800"	"200"	""	""	""	""	""	""	""	"12.652"	""	""	""	""
2013	"YR2013"	"Andorra"	"AND"	""	""	""	""	""	"5.90177532374279"	"40626.7516320228"	""	""	""	"2328000"	"470"	""	""	""	""	""	""	"50"	"11.463"	"34.1"	""	""	""
2013	"YR2013"	"Angola"	"AGO"	"2.54660688169104"	"1.09343862991579"	""	""	""	"1.25377616969393"	"5254.88233799616"	""	""	""	"650000"	"1246700"	"58.054"	""	""	"47.2054250456675"	"39.6730340606104"	"31.2"	"34.1"	"37.998"	""	""	""	"7.4539999961853"
2013	"YR2013"	"Antigua and Barbuda"	"ATG"	""	""	""	""	""	"5.72993793435028"	"13035.0936407801"	""	""	""	"243000"	"440"	"76.218"	""	""	"23.2593207745094"	""	""	"10.5"	"74.65"	""	""	""	""
2013	"YR2013"	"Argentina"	"ARG"	"5.67143015652958"	"0.556378259275955"	""	""	"0.40809"	"4.49853999490794"	"13080.2547323367"	"41"	"29.4"	""	"5246000"	"2736690"	"75.756"	""	"3.9066"	"25.5099662219408"	"37.7410622908127"	"3.5"	""	"8.751"	"24.4"	""	""	"7.09999990463257"
2013	"YR2013"	"Armenia"	"ARM"	"25.7297412632428"	"3.47189076625548"	""	""	"3.4119"	"1.89704008580942"	"3838.18580148382"	"30.6"	"24.7"	""	"1084000"	"28470"	"74.056"	""	"2.9072"	"19.665080059691"	"58.2038869431711"	"4.4"	"10.7"	"36.836"	"26.5"	""	""	"16.1790008544922"
2013	"YR2013"	"Aruba"	"ABW"	""	""	""	""	""	"8.35356100776471"	"25025.0995629083"	""	""	""	"979000"	"180"	"75.441"	""	""	"19.5930553805291"	""	""	""	"57.01"	""	""	""	""
